{'raw_data_ac_y': 0.04248046875, 'raw_data_ac_x': -0.0419921875, 'raw_data_ac_z': 0.39501953125}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.3984375}
{'raw_data_ac_y': 0.03759765625, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.39453125}
{'raw_data_ac_y': 0.03759765625, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.39501953125}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.0439453125, 'raw_data_ac_z': 0.39404296875}
{'raw_data_ac_y': 0.041015625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.39697265625}
{'raw_data_ac_y': 0.041015625, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.39794921875}
{'raw_data_ac_y': 0.04248046875, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.041015625, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.39404296875}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.39453125}
{'raw_data_ac_y': 0.03857421875, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.3955078125}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.39794921875}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.0419921875, 'raw_data_ac_z': 0.39501953125}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.0390625, 'raw_data_ac_z': 0.3974609375}
{'raw_data_ac_y': 0.04150390625, 'raw_data_ac_x': -0.041015625, 'raw_data_ac_z': 0.39501953125}
