{'raw_data_an_x': 130.023193359375, 'raw_data_an_z': -0.52734375, 'raw_data_an_y': -0.5328369140625}
{'raw_data_an_x': -0.1922607421875, 'raw_data_an_z': -0.41748046875, 'raw_data_an_y': -0.5877685546875}
{'raw_data_an_x': 131.1822509765625, 'raw_data_an_z': -0.24169921875, 'raw_data_an_y': -0.6591796875}
{'raw_data_an_x': -0.3900146484375, 'raw_data_an_z': -0.0164794921875, 'raw_data_an_y': 28.7786865234375}
{'raw_data_an_x': 132.4072265625, 'raw_data_an_z': -105.2325439453125, 'raw_data_an_y': 28.6962890625}
{'raw_data_an_x': -0.5548095703125, 'raw_data_an_z': -104.96337890625, 'raw_data_an_y': 28.6358642578125}
{'raw_data_an_x': 133.6981201171875, 'raw_data_an_z': -0.6591796875, 'raw_data_an_y': 28.5589599609375}
{'raw_data_an_x': -0.6427001953125, 'raw_data_an_z': -0.4559326171875, 'raw_data_an_y': 28.4765625}
{'raw_data_an_x': -0.0054931640625, 'raw_data_an_z': -0.28564453125, 'raw_data_an_y': 28.3941650390625}
{'raw_data_an_x': 135.6207275390625, 'raw_data_an_z': -0.120849609375, 'raw_data_an_y': 28.3172607421875}
{'raw_data_an_x': -0.164794921875, 'raw_data_an_z': -103.9910888671875, 'raw_data_an_y': 28.2568359375}
{'raw_data_an_x': 136.8511962890625, 'raw_data_an_z': -103.7603759765625, 'raw_data_an_y': 28.2073974609375}
{'raw_data_an_x': -0.3790283203125, 'raw_data_an_z': -103.546142578125, 'raw_data_an_y': 28.157958984375}
{'raw_data_an_x': 137.9937744140625, 'raw_data_an_z': -103.3758544921875, 'raw_data_an_y': -0.02197265625}
{'raw_data_an_x': -0.68115234375, 'raw_data_an_z': -0.59326171875, 'raw_data_an_y': -0.076904296875}
{'raw_data_an_x': -0.186767578125, 'raw_data_an_z': -0.4669189453125, 'raw_data_an_y': -0.1483154296875}
{'raw_data_an_x': 139.449462890625, 'raw_data_an_z': -0.340576171875, 'raw_data_an_y': -0.2471923828125}
{'raw_data_an_x': 139.8504638671875, 'raw_data_an_z': -0.17578125, 'raw_data_an_y': -0.3460693359375}
{'raw_data_an_x': -0.32958984375, 'raw_data_an_z': -102.6397705078125, 'raw_data_an_y': -0.439453125}
{'raw_data_an_x': 140.80078125, 'raw_data_an_z': -102.403564453125, 'raw_data_an_y': -0.4998779296875}
{'raw_data_an_x': -0.6536865234375, 'raw_data_an_z': -102.1124267578125, 'raw_data_an_y': -0.5438232421875}
{'raw_data_an_x': -0.0494384765625, 'raw_data_an_z': -0.538330078125, 'raw_data_an_y': -0.5877685546875}
{'raw_data_an_x': 142.613525390625, 'raw_data_an_z': -0.17578125, 'raw_data_an_y': -0.6317138671875}
{'raw_data_an_x': -0.1593017578125, 'raw_data_an_z': -101.019287109375, 'raw_data_an_y': -0.68115234375}
{'raw_data_an_x': 144.0032958984375, 'raw_data_an_z': -0.6536865234375, 'raw_data_an_y': 27.3779296875}
{'raw_data_an_x': -0.0823974609375, 'raw_data_an_z': -0.0164794921875, 'raw_data_an_y': 27.2955322265625}
{'raw_data_an_x': 145.4754638671875, 'raw_data_an_z': -99.1900634765625, 'raw_data_an_y': 27.1856689453125}
{'raw_data_an_x': -0.120849609375, 'raw_data_an_z': -0.0823974609375, 'raw_data_an_y': 27.0263671875}
{'raw_data_an_x': 146.7279052734375, 'raw_data_an_z': -97.877197265625, 'raw_data_an_y': 26.839599609375}
{'raw_data_an_x': -0.3515625, 'raw_data_an_z': -0.230712890625, 'raw_data_an_y': -0.054931640625}
{'raw_data_an_x': 147.919921875, 'raw_data_an_z': -96.690673828125, 'raw_data_an_y': -0.1922607421875}
{'raw_data_an_x': -0.472412109375, 'raw_data_an_z': -0.5328369140625, 'raw_data_an_y': -0.2801513671875}
{'raw_data_an_x': 149.2822265625, 'raw_data_an_z': -95.625, 'raw_data_an_y': -0.340576171875}
{'raw_data_an_x': -0.5548095703125, 'raw_data_an_z': -95.0811767578125, 'raw_data_an_y': -0.428466796875}
{'raw_data_an_x': -0.0439453125, 'raw_data_an_z': -0.3240966796875, 'raw_data_an_y': -0.59326171875}
{'raw_data_an_x': 150.8038330078125, 'raw_data_an_z': -94.0155029296875, 'raw_data_an_y': 25.938720703125}
{'raw_data_an_x': 151.0894775390625, 'raw_data_an_z': -93.548583984375, 'raw_data_an_y': 25.740966796875}
{'raw_data_an_x': -0.5767822265625, 'raw_data_an_z': -0.428466796875, 'raw_data_an_y': 25.576171875}
{'raw_data_an_x': -0.46142578125, 'raw_data_an_z': -0.37353515625, 'raw_data_an_y': 25.48828125}
{'raw_data_an_x': -0.4229736328125, 'raw_data_an_z': -0.5712890625, 'raw_data_an_y': 25.4827880859375}
{'raw_data_an_x': -0.439453125, 'raw_data_an_z': -93.768310546875, 'raw_data_an_y': 25.5487060546875}
{'raw_data_an_x': -0.52734375, 'raw_data_an_z': -0.0494384765625, 'raw_data_an_y': 25.675048828125}
{'raw_data_an_x': -0.6976318359375, 'raw_data_an_z': -0.5767822265625, 'raw_data_an_y': 25.8013916015625}
